Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
MANA:SHASTRA(Kannada),63: About Varna Vyavasthe(ವರ್ಣ ವ್ಯವಸ್ಥೆ),zX9khfJ4iPg, none
MANA:SHASTRA(Kannada),64: VARNA SYSTEM - More Explanation,B3-r_V-ksw4, none
MANA:SHASTRA(Kannada),65: How can a person overcome stress-despair and disappointment in life?,aVKm908r3yE, none
PRACTICE-2022, Practice 01: Delay Marriage, hWgzsHu6SAc, none
PRACTICE-2022, Practice 02: Job & Debts, KcCYL54iiRw, none
PRACTICE-2022, Practice 03: Electing Upanayana Muhurtha, Bc4MP-dJWHw, https://docs.google.com/spreadsheets/d/1NbprMX_xkVGBj2E9PWO3f3duCwZW-Evv89pkrWfc2Ts/edit?usp=drive_link
PRACTICE-2022, Practice 04: Question on Delayed Marriage, 7J3vzKlieSI, https://docs.google.com/spreadsheets/d/1izEzrnW9csd-cZBsI3AlswiRILAReXX0txRv3mMm9es/edit?usp=sharing
Questions & Answers, General Questions & Answers,cyUpzCD_tzk, none
Questions & Answers, ASHTAKUTA QUESTIONS & ANSWERS,0Pt4zC22x7s, https://docs.google.com/spreadsheets/d/14n_W9NAV9Crb7d_njX5cj4IFK8pBQiqqQ6EZ_8JuphA/edit?usp=drive_link 
Questions & Answers,01: ಸರ್ಪವನ್ನು ಕೊಲ್ಲುವುದು ಪಾಪವೋ...? ಗಿಡ-ಮರವನ್ನು ಕಡೆಯುವುದು ಪಾಪವಲ್ಲವೋ...? ವಿಶ್ಲೇಷಣೆ,enQyDChjr2I, none
Google Sheets,ASHTAKUTA MATCHING-GOOGLE SHEET,, https://docs.google.com/spreadsheets/d/14n_W9NAV9Crb7d_njX5cj4IFK8pBQiqqQ6EZ_8JuphA/edit?usp=drive_link 
Google Sheets,GOCHARA PHALA GOOGLE SHEET,, https://docs.google.com/spreadsheets/d/1izEzrnW9csd-cZBsI3AlswiRILAReXX0txRv3mMm9es/edit?usp=sharing
Google Sheets,MUHURTHA_FOR_STUDENTS,, https://docs.google.com/spreadsheets/d/1NbprMX_xkVGBj2E9PWO3f3duCwZW-Evv89pkrWfc2Ts/edit?usp=drive_link
JYOTISHA(Kannada)-2025,05: Karma Theory(Part-1), uGOxpIsIt14, https://drive.google.com/file/d/188yhzeEWUDGotltJIq-gfkeI6kTp0GzU/view?usp=sharing
JYOTISHA(Telugu)-2025,05: Karma Theory(Part-1), zFq_tK3sN_o, https://drive.google.com/file/d/1IS8HjBhxCpn2MEdo1KA53TIZWqtZFASX/view?usp=sharing
Questions & Answers,04: Question & Answers,08kNB-Ao69o, none
MANA:SHASTRA(Kannada),66: Difference between Punya & Moksha,my7w1toSX2U, none	
MANA:SHASTRA(Kannada),67: Concept of YAJNA,LN9ZaPa75UQ, none
JYOTISHA(Kannada)-2025,06: Karma Theory(Part-2), zLVVF9SSrA8, https://drive.google.com/file/d/1TMsh7BQS4AzbuGeKDn4bjoOdlsqo0Qjo/view?usp=sharing
JYOTISHA(Telugu)-2025,06: Karma Theory (Part-2), tg3_i5FfyYQ, https://drive.google.com/file/d/1YXLh6T8pt_ZRYHA4lLaJNAReZ4xLh1jx/view?usp=sharing
Questions & Answers,About Jagannatha Hora Software,3Z1wx8_TDrc, none
